--------- beginning of system
01-30 13:43:53.871   772   772 W wificond: Scheduled scan is not running!
01-30 15:33:31.747  1089  3821 I ActivityManager:   ntv   ??    3027: init (pid 1) native
01-30 15:33:31.747  1089  3821 I ActivityManager:   ntv   ??    2951: android.hardware.graphics.composer@2.1-service (pid 484) native
01-30 15:33:31.747  1089  3821 I ActivityManager:   ntv   ??    2493: media.metrics (pid 752) native
01-30 15:33:31.747  1089  3821 I ActivityManager:   ntv   ??    2484: media.codec (pid 787) native
01-30 15:33:31.747  1089  3821 I ActivityManager:   ntv   ??    2388: netd (pid 395) native
01-30 15:33:31.747  1089  3821 I ActivityManager:   ntv   ??    2303: android.hardware.gnss@2.1-service-qti (pid 483) native
01-30 15:33:31.747  1089  3821 I ActivityManager:   ntv   ??    2124: cnd (pid 790) native
01-30 15:33:31.747  1089  3821 I ActivityManager:   ntv   ??    1990: vendor.qti.hardware.perf@2.2-service (pid 495) native
01-30 15:33:31.747  1089  3821 I ActivityManager:   ntv   ??    1944: ims_rtp_daemon (pid 1075) native
01-30 15:33:31.747  1089  3821 I ActivityManager:   ntv   ??    1896: android.hardware.sensors@1.0-service (pid 491) native
01-30 15:33:31.747  1089  3821 I ActivityManager:   ntv   ??    1862: imsdatadaemon (pid 939) native
01-30 15:33:31.747  1089  3821 I ActivityManager:   ntv   ??    1729: imsrcsd (pid 1006) native
01-30 15:33:31.747  1089  3821 I ActivityManager:   ntv   ??    1720: ueventd (pid 280) native
01-30 15:33:31.747  1089  3821 I ActivityManager:   ntv   ??    1666: installd (pid 734) native
01-30 15:33:31.747  1089  3821 I ActivityManager:   ntv   ??    1627: statsd (pid 394) native
01-30 15:33:31.747  1089  3821 I ActivityManager:   ntv   ??    1626: logd (pid 294) native
01-30 15:33:31.747  1089  3821 I ActivityManager:   ntv   ??    1537: android.hardware.bluetooth@1.0-service-qti-lazy (pid 3020) native
01-30 15:33:31.747  1089  3821 I ActivityManager:   ntv   ??    1525: lowi-server (pid 909) native
01-30 15:33:31.747  1089  3821 I ActivityManager:   ntv   ??    1481: vold (pid 331) native
01-30 15:33:31.747  1089  3821 I ActivityManager:   ntv   ??    1405: xtra-daemon (pid 910) native
01-30 15:33:31.747  1089  3821 I ActivityManager:   ntv   ??    1357: init (pid 277) native
01-30 15:33:31.747  1089  3821 I ActivityManager:   ntv   ??    1339: thermal-engine (pid 2036) native
01-30 15:33:31.747  1089  3821 I ActivityManager:   ntv   ??    1268: vendor.qti.hardware.display.allocator-service (pid 493) native
01-30 15:33:31.747  1089  3821 I ActivityManager:   ntv   ??    1213: storaged (pid 767) native
01-30 15:33:31.747  1089  3821 I ActivityManager:   ntv   ??    1161: qseecomd (pid 344) native
01-30 15:33:31.747  1089  3821 I ActivityManager:   ntv   ??    1154: wificond (pid 772) native
01-30 15:33:31.747  1089  3821 I ActivityManager:   ntv   ??    1132: sensors.qti (pid 522) native
01-30 15:33:31.747  1089  3821 I ActivityManager:   ntv   ??    1120: android.hardware.wifi@1.0-service (pid 492) native
01-30 15:33:31.747  1089  3821 I ActivityManager:   ntv   ??    1090: keystore (pid 737) native
01-30 15:33:31.747  1089  3821 I ActivityManager:   ntv   ??    1085: gpuservice (pid 503) native
01-30 15:33:31.747  1089  3821 I ActivityManager:   ntv   ??    1080: perfservice (pid 776) native
01-30 15:33:31.747  1089  3821 I ActivityManager:   ntv   ??    1080: qti (pid 1022) native
01-30 15:33:31.747  1089  3821 I ActivityManager:   ntv   ??    1017: adbd (pid 2087) native
01-30 15:33:31.747  1089  3821 I ActivityManager:   ntv   ??    1013: hwservicemanager (pid 297) native
01-30 15:33:31.747  1089  3821 I ActivityManager:   ntv   ??     971: gatekeeperd (pid 890) native
01-30 15:33:31.747  1089  3821 I ActivityManager:   ntv   ??     969: android.hardware.power-service (pid 490) native
01-30 15:33:31.747  1089  3821 I ActivityManager:   ntv   ??     962: drmserver (pid 724) native
01-30 15:33:31.747  1089  3821 I ActivityManager:   ntv   ??     955: imsqmidaemon (pid 805) native
01-30 15:33:31.747  1089  3821 I ActivityManager:   ntv   ??     926: servicemanager (pid 296) native
01-30 15:33:31.747  1089  3821 I ActivityManager:   ntv   ??     918: android.hardware.keymaster@4.1-service-qti (pid 306) native
01-30 15:33:31.747  1089  3821 I ActivityManager:   ntv   ??     897: android.hardware.health@2.1-service (pid 487) native
01-30 15:33:31.747  1089  3821 I ActivityManager:   ntv   ??     870: incidentd (pid 732) native
01-30 15:33:31.747  1089  3821 I ActivityManager:   ntv   ??     869: vendor.qti.hardware.vibrator.service (pid 496) native
01-30 15:33:31.747  1089  3821 I ActivityManager:   ntv   ??     864: pm-service (pid 501) native
01-30 15:33:31.747  1089  3821 I ActivityManager:   ntv   ??     847: android.hardware.lights-service.qti (pid 488) native
01-30 15:33:31.747  1089  3821 I ActivityManager:   ntv   ??     842: android.hardware.gatekeeper@1.0-service-qti (pid 358) native
01-30 15:33:31.747  1089  3821 I ActivityManager:   ntv   ??     842: adsprpcd (pid 869) native
01-30 15:33:31.747  1089  3821 I ActivityManager:   ntv   ??     836: lmkd (pid 295) native
01-30 15:33:31.747  1089  3821 I ActivityManager:   ntv   ??     836: android.system.suspend@1.0-service (pid 356) native
01-30 15:33:31.747  1089  3821 I ActivityManager:   ntv   ??     826: vendor.qti.hardware.qseecom@1.0-service (pid 309) native
01-30 15:33:31.747  1089  3821 I ActivityManager:   ntv   ??     818: port-bridge (pid 848) native
01-30 15:33:31.747  1089  3821 I ActivityManager:   ntv   ??     811: dspservice (pid 494) native
01-30 15:33:31.747  1089  3821 I ActivityManager:   ntv   ??     802: time_daemon (pid 389) native
01-30 15:33:31.747  1089  3821 I ActivityManager:   ntv   ??     789: loc_launcher (pid 886) native
01-30 15:33:31.747  1089  3821 I ActivityManager:   ntv   ??     784: vndservicemanager (pid 298) native
01-30 15:33:31.747  1089  3821 I ActivityManager:   ntv   ??     776: android.hardware.memtrack@1.0-service (pid 489) native
01-30 15:33:31.747  1089  3821 I ActivityManager:   ntv   ??     773: android.hardware.atrace@1.0-service (pid 357) native
01-30 15:33:31.747  1089  3821 I ActivityManager:   ntv   ??     773: pm-proxy (pid 617) native
01-30 15:33:31.747  1089  3821 I ActivityManager:   ntv   ??     769: rmt_storage (pid 506) native
01-30 15:33:31.747  1089  3821 I ActivityManager:   ntv   ??     736: wcnss_service (pid 719) native
01-30 15:33:31.747  1089  3821 I ActivityManager:   ntv   ??     663: tftp_server (pid 507) native
01-30 15:33:31.747  1089  3821 I ActivityManager:   ntv   ??     584: android.hidl.allocator@1.0-service (pid 481) native
01-30 15:33:31.747  1089  3821 I ActivityManager:   ntv   ??     582: qrtr-ns (pid 618) native
01-30 15:33:31.747  1089  3821 I ActivityManager:   ntv   ??     576: traced (pid 626) native
01-30 15:33:31.747  1089  3821 I ActivityManager:   ntv   ??     513: iptables-restore (pid 433) native
01-30 15:33:31.747  1089  3821 I ActivityManager:   ntv   ??    2274: (Other native)
01-30 15:33:31.747  1089  3821 I ActivityManager:   sys    PER    75459: system (    2,736K memtrack) (pid 1089) fixed
01-30 15:33:31.747  1089  3821 I ActivityManager:   pers   BFGS   54358: com.android.systemui (   14,912K memtrack) (pid 1482) pers-top-ui
01-30 15:33:31.747  1089  3821 I ActivityManager:   pers   PER    13223: com.android.phone (pid 1748) fixed
01-30 15:33:31.747  1089  3821 I ActivityManager:   pers   PER    12454: com.redbend.client (pid 2255) fixed
01-30 15:33:31.747  1089  3821 I ActivityManager:   pers   PER    11759: com.jio.adc.embedded (pid 2275) fixed
01-30 15:33:31.747  1089  3821 I ActivityManager:   pers   PER    10484: com.qualcomm.location (pid 2263) fixed
01-30 15:33:31.747  1089  3821 I ActivityManager:   pers   PER     5654: org.codeaurora.ims (pid 1727) fixed
01-30 15:33:31.747  1089  3821 I ActivityManager:   pers   PER     5362: .qtidataservices (pid 1680) fixed
01-30 15:33:31.747  1089  3821 I ActivityManager:   pers   PER     4618: com.qualcomm.qti.telephonyservice (pid 1705) fixed
01-30 15:33:31.747  1089  3821 I ActivityManager:   pers   PER     4473: .dataservices (pid 1632) fixed
01-30 15:33:31.747  1089  3821 I ActivityManager:   psvc   PER     8239: com.android.providers.media.module (pid 2212) service
01-30 15:33:31.747  1089  3821 I ActivityManager:                        com.android.providers.media.module/com.android.providers.media.fuse.ExternalStorageServiceImpl<=Proc{1089:system/1000}
01-30 15:33:31.747  1089  3821 I ActivityManager:   psvc   PER     8043: com.android.bluetooth (pid 811) service
01-30 15:33:31.747  1089  3821 I ActivityManager:                        com.android.bluetooth/.gatt.GattService<=Proc{1089:system/1000}
01-30 15:33:31.747  1089  3821 I ActivityManager:   fg     BFGS   19622: com.android.launcher3 (    1,320K memtrack) (pid 2132) service
01-30 15:33:31.747  1089  3821 I ActivityManager:                        com.android.launcher3/com.android.quickstep.TouchInteractionService<=Proc{1482:com.android.systemui/u0a154}
01-30 15:33:31.747  1089  3821 I ActivityManager:   vis    BFGS   45986: com.google.android.gms.persistent (pid 2670) service
01-30 15:33:31.747  1089  3821 I ActivityManager:                        com.google.android.gms/.chimera.PersistentBoundBrokerService<=Proc{1089:system/1000}
01-30 15:33:31.747  1089  3821 I ActivityManager:   vis    BFGS   21357: com.android.systemui:screenshot (    4,372K memtrack) (pid 3492) service
01-30 15:33:31.747  1089  3821 I ActivityManager:                        com.android.systemui/.screenshot.TakeScreenshotService<=Proc{1089:system/1000}
01-30 15:33:31.747  1089  3821 I ActivityManager:   vis    BFGS    5089: com.google.android.ext.services (pid 1790) service
01-30 15:33:31.747  1089  3821 I ActivityManager:                        com.google.android.ext.services/android.ext.services.notification.Assistant<=Proc{1089:system/1000}
01-30 15:33:31.747  1089  3821 I ActivityManager:   vis    IMPF    4474: com.qualcomm.qcrilmsgtunnel (pid 2499) service
01-30 15:33:31.747  1089  3821 I ActivityManager:                        com.qualcomm.qcrilmsgtunnel/.QcrilMsgTunnelService<=Proc{1748:com.android.phone/1001}
01-30 15:33:31.747  1089  3821 I ActivityManager:   prcp   IMPB   20265: com.google.android.inputmethod.latin (pid 1577) service
01-30 15:33:31.747  1089  3821 I ActivityManager:                        com.google.android.inputmethod.latin/com.android.inputmethod.latin.LatinIME<=Proc{1089:system/1000}
01-30 15:33:31.747  1089  3821 I ActivityManager:   prcl   TRNB   21782: com.jio.myjio (pid 1754) service
01-30 15:33:31.747  1089  3821 I ActivityManager:                        com.jio.myjio/com.madme.mobile.sdk.service.LSJobService<=Proc{1089:system/1000}
01-30 15:33:31.747  1089  3821 I ActivityManager:   svc    SVC     7762: com.qti.diagservices (pid 2894) started-services
01-30 15:33:31.747  1089  3821 I ActivityManager:             571900: TOTAL (   46,808K memtrack)
01-30 15:33:31.747  1089  3821 I ActivityManager:   MemInfo:   104,360K slab,     6,792K shmem,    16,576K vm alloc,    21,872K page tables    14,952K kernel stack
01-30 15:33:31.747  1089  3821 I ActivityManager:                  432K buffers,   114,340K cached,    79,624K mapped,    45,536K free
01-30 15:33:31.747  1089  3821 I ActivityManager:   ZRAM:    91,728K RAM,   786,428K swap total,   485,604K swap free
01-30 15:33:31.747  1089  3821 I ActivityManager:   Free RAM:   112,084K
01-30 15:33:31.747  1089  3821 I ActivityManager:        ION:    72,868K
01-30 15:33:31.747  1089  3821 I ActivityManager:   Used RAM:   777,924K
01-30 15:33:31.747  1089  3821 I ActivityManager:   Lost RAM:   165,748K
01-30 15:33:31.935  1089  3821 I DropBoxManagerService: add tag=system_server_lowmem isTagEnabled=true flags=0x2
01-30 15:33:31.958  1089  1189 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.DROPBOX_ENTRY_ADDED flg=0x10 (has extras) } to com.google.android.gms/.stats.service.DropBoxEntryAddedReceiver
01-30 15:34:23.914  1089  1188 I UsageStatsService: User[0] Flushing usage stats to disk
01-30 15:34:28.778  1089  1189 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.net.wifi.SCAN_RESULTS flg=0x4000010 (has extras) } to com.jio.myjio/.jionet.receiver.WifiScanReceiver
01-30 15:34:29.842  1089  3897 D CompatibilityChangeReporter: Compat change id reported: 135634846; UID 10127; state: DISABLED
01-30 15:34:29.842  1089  1190 D CompatibilityChangeReporter: Compat change id reported: 143937733; UID 10127; state: ENABLED
01-30 15:34:29.883  1089  1190 I ActivityManager: Start proc 3861:com.google.android.gms/u0a127 for service {com.google.android.gms/com.google.android.gms.ads.identifier.service.AdvertisingIdService}
01-30 15:34:31.626  1089  3897 I ActivityManager: Process com.google.android.gms (pid 3861) has died: cch+5 CEM 
01-30 15:35:29.524  1089  1189 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.net.wifi.SCAN_RESULTS flg=0x4000010 (has extras) } to com.jio.myjio/.jionet.receiver.WifiScanReceiver
01-30 15:35:30.592  1089  3897 D CompatibilityChangeReporter: Compat change id reported: 135634846; UID 10127; state: DISABLED
01-30 15:35:30.593  1089  1190 D CompatibilityChangeReporter: Compat change id reported: 143937733; UID 10127; state: ENABLED
01-30 15:35:30.642  1089  1190 W ActivityManager: Slow operation: 51ms so far, now at startProcess: building log message
01-30 15:35:30.642  1089  1190 I ActivityManager: Start proc 3949:com.google.android.gms/u0a127 for service {com.google.android.gms/com.google.android.gms.ads.identifier.service.AdvertisingIdService}
01-30 15:35:30.642  1089  1190 W ActivityManager: Slow operation: 51ms so far, now at startProcess: starting to update pids map
01-30 15:35:30.643  1089  1190 W ActivityManager: Slow operation: 52ms so far, now at startProcess: done updating pids map
01-30 15:35:31.845  1089  3897 I ActivityManager: Process com.google.android.gms (pid 3949) has died: cch+5 CEM 
01-30 15:36:30.181  1089  1189 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.net.wifi.SCAN_RESULTS flg=0x4000010 (has extras) } to com.jio.myjio/.jionet.receiver.WifiScanReceiver
01-30 15:36:31.233  1089  3501 D CompatibilityChangeReporter: Compat change id reported: 135634846; UID 10127; state: DISABLED
01-30 15:36:31.234  1089  1190 D CompatibilityChangeReporter: Compat change id reported: 143937733; UID 10127; state: ENABLED
01-30 15:36:31.269  1089  1190 I ActivityManager: Start proc 4036:com.google.android.gms/u0a127 for service {com.google.android.gms/com.google.android.gms.ads.identifier.service.AdvertisingIdService}
01-30 15:36:36.841  1089  3897 I ActivityManager: Process com.google.android.gms (pid 4036) has died: cch+5 CEM 
01-30 15:37:01.146  1089  1089 W Looper  : Slow dispatch took 106ms main h=android.app.ActivityThread$H c=android.app.-$$Lambda$LoadedApk$ReceiverDispatcher$Args$_BumDX2UKsnxLVrE6UJsJZkotuA@7f858c4 m=0
01-30 15:37:01.153  1089  1089 W Looper  : Slow delivery took 202ms main h=android.app.ActivityThread$H c=android.app.-$$Lambda$LoadedApk$ReceiverDispatcher$Args$_BumDX2UKsnxLVrE6UJsJZkotuA@b61b3ad m=0
01-30 15:37:01.193  1089  1089 W Looper  : Drained
01-30 15:37:30.452  1089  1178 W Looper  : Slow dispatch took 281ms android.ui h=com.android.server.am.ActivityManagerService$UiHandler c=null m=68
01-30 15:37:30.869  1089  1189 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.net.wifi.SCAN_RESULTS flg=0x4000010 (has extras) } to com.jio.myjio/.jionet.receiver.WifiScanReceiver
01-30 15:37:31.937  1089  1994 D CompatibilityChangeReporter: Compat change id reported: 135634846; UID 10127; state: DISABLED
01-30 15:37:31.938  1089  1190 D CompatibilityChangeReporter: Compat change id reported: 143937733; UID 10127; state: ENABLED
01-30 15:37:31.974  1089  1190 I ActivityManager: Start proc 385:com.google.android.gms/u0a127 for service {com.google.android.gms/com.google.android.gms.ads.identifier.service.AdvertisingIdService}
01-30 15:37:34.441  1089  1641 I ActivityManager: Process com.google.android.gms (pid 385) has died: fg  TRNB
01-30 15:37:34.444  1089  1641 W ActivityManager: Scheduling restart of crashed service com.google.android.gms/.ads.identifier.service.AdvertisingIdService in 1000ms for connection
01-30 15:37:35.449  1089  1189 D CompatibilityChangeReporter: Compat change id reported: 135634846; UID 10127; state: DISABLED
01-30 15:37:35.450  1089  1190 D CompatibilityChangeReporter: Compat change id reported: 143937733; UID 10127; state: ENABLED
01-30 15:37:35.487  1089  1190 I ActivityManager: Start proc 474:com.google.android.gms/u0a127 for service {com.google.android.gms/com.google.android.gms.ads.identifier.service.AdvertisingIdService}
--------- beginning of main
01-30 15:37:36.137   474   474 V NativeCrypto: Registering com/google/android/gms/org/conscrypt/NativeCrypto's 329 native methods...
01-30 15:37:36.186   474   474 I ProviderInstaller: Installed default security provider GmsCore_OpenSSL
01-30 15:37:36.209   474   474 I GmsApplication: [gms_startup_benchmark] Static start time (ms): 692478245, Startup latency (ms): 353, Is system user: true
01-30 15:37:36.216   474   580 I Watchcat: Started
01-30 15:37:36.233   474   580 I GMS_MM_Logger: Start time: 297926
01-30 15:37:36.233   474   580 I GMS_MM_Logger: Started.
01-30 15:37:36.281   474   543 I DynamiteModule: Considering local module com.google.android.gms.googlecertificates:7 and remote module com.google.android.gms.googlecertificates:0
01-30 15:37:36.281   474   543 I DynamiteModule: Selected local version of com.google.android.gms.googlecertificates
01-30 15:37:36.414   295   295 I lowmemorykiller: Kill 'com.google.android.gms' (474), uid 10127, oom_adj 905 to free 49980kB
01-30 15:37:36.563   396   396 I Zygote  : Process 474 exited due to signal 9 (Killed)
01-30 15:37:36.564  1089  3547 I ActivityManager: Process com.google.android.gms (pid 474) has died: cch+5 CEM 
01-30 15:37:37.762   987  1142 E QMI_FW  : qmi_cci_get_ref: ref count increased 2
01-30 15:37:38.123   594   594 I chatty  : uid=1000(system) expire 35 lines
01-30 15:37:38.402   594   595 I chatty  : uid=1000(system) expire 1 line
01-30 15:37:38.403   594   594 E improveTouch: [DSPTouchProcessor:823] deInit: invalid state (current = 0)
01-30 15:37:38.403   594   594 D improveTouch: [DSPTouchProcessor:827] deInit: X pa_utf_ret = 1, ret = 1073741835
01-30 15:37:38.403   594   594 E improveTouch: [TouchServer:83] delete event injector
01-30 15:37:38.403   594   594 E improveTouch: [TouchServer:87] delete config management
01-30 15:37:38.404   594   594 E improveTouch: [TouchServer:90] fail to start daemon
01-30 15:37:38.404   594   594 E improveTouch: [Main:169] fail to initiate touch server
01-30 15:37:40.505     0     0 I swapper/0: type=1400 audit(0.0:14179): avc: denied { kill } for capability=5 scontext=u:r:kernel:s0 tcontext=u:r:kernel:s0 tclass=capability permissive=1
01-30 15:37:43.013   598   598 I chatty  : uid=1000(system) com.google.android.permissioncontroller expire 35 lines
01-30 15:37:43.267   598   599 I chatty  : uid=1000(system) com.google.android.permissioncontroller expire 1 line
01-30 15:37:43.269   598   598 E improveTouch: [DSPTouchProcessor:823] deInit: invalid state (current = 0)
01-30 15:37:43.269   598   598 D improveTouch: [DSPTouchProcessor:827] deInit: X pa_utf_ret = 1, ret = 1073741835
01-30 15:37:43.269   598   598 E improveTouch: [TouchServer:83] delete event injector
01-30 15:37:43.269   598   598 E improveTouch: [TouchServer:87] delete config management
01-30 15:37:43.270   598   598 E improveTouch: [TouchServer:90] fail to start daemon
01-30 15:37:43.270   598   598 E improveTouch: [Main:169] fail to initiate touch server
01-30 15:37:45.439   987  1142 E QMI_FW  : qmi_cci_get_ref: ref count increased 2
01-30 15:37:45.454  2275  2300 I io.adc.embedde: Background concurrent copying GC freed 39(48KB) AllocSpace objects, 0(0B) LOS objects, 88% free, 2485KB/20MB, paused 136us total 217.222ms
01-30 15:37:48.028   600   600 I chatty  : uid=1000(system) expire 35 lines
01-30 15:37:48.296   600   608 I chatty  : uid=1000(system) expire 1 line
01-30 15:37:48.297   600   600 E improveTouch: [DSPTouchProcessor:823] deInit: invalid state (current = 0)
01-30 15:37:48.297   600   600 D improveTouch: [DSPTouchProcessor:827] deInit: X pa_utf_ret = 1, ret = 1073741835
01-30 15:37:48.297   600   600 E improveTouch: [TouchServer:83] delete event injector
01-30 15:37:48.297   600   600 E improveTouch: [TouchServer:87] delete config management
01-30 15:37:48.298   600   600 E improveTouch: [TouchServer:90] fail to start daemon
01-30 15:37:48.299   600   600 E improveTouch: [Main:169] fail to initiate touch server
01-30 15:37:53.039   610   610 I chatty  : uid=1000(system) expire 35 lines
01-30 15:37:53.119   987  1142 E QMI_FW  : qmi_cci_get_ref: ref count increased 2
01-30 15:37:53.297   610   611 I chatty  : uid=1000(system) expire 1 line
01-30 15:37:53.299   610   610 E improveTouch: [DSPTouchProcessor:823] deInit: invalid state (current = 0)
01-30 15:37:53.299   610   610 D improveTouch: [DSPTouchProcessor:827] deInit: X pa_utf_ret = 1, ret = 1073741835
01-30 15:37:53.299   610   610 E improveTouch: [TouchServer:83] delete event injector
01-30 15:37:53.299   610   610 E improveTouch: [TouchServer:87] delete config management
01-30 15:37:53.300   610   610 E improveTouch: [TouchServer:90] fail to start daemon
01-30 15:37:53.300   610   610 E improveTouch: [Main:169] fail to initiate touch server
01-30 15:37:55.464  3492  3510 I emui:screensho: Background concurrent copying GC freed 47(48KB) AllocSpace objects, 0(0B) LOS objects, 90% free, 1953KB/19MB, paused 121us total 212.738ms
01-30 15:37:56.962   987  1142 E QMI_FW  : qmi_cci_get_ref: ref count increased 2
01-30 15:37:58.050   612   612 I chatty  : uid=1000(system) expire 35 lines
01-30 15:37:58.310   612   613 I chatty  : uid=1000(system) expire 1 line
01-30 15:37:58.311   612   612 E improveTouch: [DSPTouchProcessor:823] deInit: invalid state (current = 0)
01-30 15:37:58.312   612   612 D improveTouch: [DSPTouchProcessor:827] deInit: X pa_utf_ret = 1, ret = 1073741835
01-30 15:37:58.312   612   612 E improveTouch: [TouchServer:83] delete event injector
01-30 15:37:58.312   612   612 E improveTouch: [TouchServer:87] delete config management
01-30 15:37:58.313   612   612 E improveTouch: [TouchServer:90] fail to start daemon
01-30 15:37:58.313   612   612 E improveTouch: [Main:169] fail to initiate touch server
01-30 15:38:00.411   811   829 I droid.bluetoot: Background concurrent copying GC freed 23(48KB) AllocSpace objects, 0(0B) LOS objects, 91% free, 1808KB/19MB, paused 109us total 153.584ms
01-30 15:38:00.802   987  1142 E QMI_FW  : qmi_cci_get_ref: ref count increased 2
01-30 15:38:02.099  1727  1727 D QtiCarrierConfigHelper: WARNING, no carrier configs on phone Id: 0
01-30 15:38:02.123  1482  1482 D KeyguardUpdateMonitor: received broadcast android.intent.action.BATTERY_CHANGED
01-30 15:38:02.142  1482  1482 D KeyguardUpdateMonitor: handleBatteryUpdate
01-30 15:38:03.064   616   616 I chatty  : uid=1000(system) expire 34 lines
01-30 15:38:03.325   616   623 I chatty  : uid=1000(system) expire 1 line
01-30 15:38:03.326   616   616 D improveTouch: [DSPTouchProcessor:807] deInit: E
01-30 15:38:03.326   616   616 E improveTouch: [DSPTouchProcessor:823] deInit: invalid state (current = 0)
01-30 15:38:03.326   616   616 D improveTouch: [DSPTouchProcessor:827] deInit: X pa_utf_ret = 1, ret = 1073741835
01-30 15:38:03.326   616   616 E improveTouch: [TouchServer:83] delete event injector
01-30 15:38:03.326   616   616 E improveTouch: [TouchServer:87] delete config management
01-30 15:38:03.328   616   616 E improveTouch: [TouchServer:90] fail to start daemon
01-30 15:38:03.328   616   616 E improveTouch: [Main:169] fail to initiate touch server
01-30 15:38:08.073   627   627 I chatty  : uid=1000(system) expire 34 lines
01-30 15:38:08.328   627   636 I chatty  : uid=1000(system) expire 1 line
01-30 15:38:08.329   627   627 D improveTouch: [DSPTouchProcessor:807] deInit: E
01-30 15:38:08.330   627   627 E improveTouch: [DSPTouchProcessor:823] deInit: invalid state (current = 0)
01-30 15:38:08.330   627   627 D improveTouch: [DSPTouchProcessor:827] deInit: X pa_utf_ret = 1, ret = 1073741835
01-30 15:38:08.330   627   627 E improveTouch: [TouchServer:83] delete event injector
01-30 15:38:08.330   627   627 E improveTouch: [TouchServer:87] delete config management
01-30 15:38:08.331   627   627 E improveTouch: [TouchServer:90] fail to start daemon
01-30 15:38:08.331   627   627 E improveTouch: [Main:169] fail to initiate touch server
01-30 15:38:08.480   987  1142 E QMI_FW  : qmi_cci_get_ref: ref count increased 2
01-30 15:38:12.322   987  1142 E QMI_FW  : qmi_cci_get_ref: ref count increased 2
01-30 15:38:13.087   639   639 I chatty  : uid=1000(system) com.google.android.permissioncontroller expire 35 lines
01-30 15:38:13.342   639   640 I chatty  : uid=1000(system) com.google.android.permissioncontroller expire 1 line
01-30 15:38:13.343   639   639 E improveTouch: [DSPTouchProcessor:823] deInit: invalid state (current = 0)
01-30 15:38:13.343   639   639 D improveTouch: [DSPTouchProcessor:827] deInit: X pa_utf_ret = 1, ret = 1073741835
01-30 15:38:13.343   639   639 E improveTouch: [TouchServer:83] delete event injector
01-30 15:38:13.343   639   639 E improveTouch: [TouchServer:87] delete config management
01-30 15:38:13.344   639   639 E improveTouch: [TouchServer:90] fail to start daemon
01-30 15:38:13.344   639   639 E improveTouch: [Main:169] fail to initiate touch server
01-30 15:38:17.777  2670  2684 I .gms.persisten: Background concurrent copying GC freed 66163(2793KB) AllocSpace objects, 0(0B) LOS objects, 57% free, 13MB/31MB, paused 146us total 581.459ms
01-30 15:38:18.100   642   642 I chatty  : uid=1000(system) expire 35 lines
01-30 15:38:18.378   642   643 I chatty  : uid=1000(system) expire 1 line
01-30 15:38:18.388   642   642 E improveTouch: [DSPTouchProcessor:823] deInit: invalid state (current = 0)
01-30 15:38:18.388   642   642 D improveTouch: [DSPTouchProcessor:827] deInit: X pa_utf_ret = 1, ret = 1073741835
01-30 15:38:18.388   642   642 E improveTouch: [TouchServer:83] delete event injector
01-30 15:38:18.388   642   642 E improveTouch: [TouchServer:87] delete config management
01-30 15:38:18.390   642   642 E improveTouch: [TouchServer:90] fail to start daemon
01-30 15:38:18.392   642   642 E improveTouch: [Main:169] fail to initiate touch server
01-30 15:38:20.004   987  1142 E QMI_FW  : qmi_cci_get_ref: ref count increased 2
01-30 15:38:23.255   647   647 I chatty  : uid=1000(system) expire 35 lines
01-30 15:38:23.520   647   651 I chatty  : uid=1000(system) expire 1 line
01-30 15:38:23.522   647   647 E improveTouch: [DSPTouchProcessor:823] deInit: invalid state (current = 0)
01-30 15:38:23.522   647   647 D improveTouch: [DSPTouchProcessor:827] deInit: X pa_utf_ret = 1, ret = 1073741835
01-30 15:38:23.522   647   647 E improveTouch: [TouchServer:83] delete event injector
01-30 15:38:23.522   647   647 E improveTouch: [TouchServer:87] delete config management
01-30 15:38:23.523   647   647 E improveTouch: [TouchServer:90] fail to start daemon
01-30 15:38:23.523   647   647 E improveTouch: [Main:169] fail to initiate touch server
01-30 15:38:27.683   987  1142 E QMI_FW  : qmi_cci_get_ref: ref count increased 2
01-30 15:38:28.264   659   659 I chatty  : uid=1000(system) expire 35 lines
01-30 15:38:28.536   659   660 I chatty  : uid=1000(system) expire 1 line
01-30 15:38:28.538   659   659 E improveTouch: [DSPTouchProcessor:823] deInit: invalid state (current = 0)
01-30 15:38:28.538   659   659 D improveTouch: [DSPTouchProcessor:827] deInit: X pa_utf_ret = 1, ret = 1073741835
01-30 15:38:28.538   659   659 E improveTouch: [TouchServer:83] delete event injector
01-30 15:38:28.538   659   659 E improveTouch: [TouchServer:87] delete config management
01-30 15:38:28.539   659   659 E improveTouch: [TouchServer:90] fail to start daemon
01-30 15:38:28.540   659   659 E improveTouch: [Main:169] fail to initiate touch server
01-30 15:38:30.109  1754  1754 W JobInfo : Requested backoff +5s0ms for job 1001 is too small; raising to +10s0ms
01-30 15:38:30.891  1482  1482 D KeyguardUpdateMonitor: received broadcast android.intent.action.TIME_TICK
01-30 15:38:30.895  1482  1482 D KeyguardUpdateMonitor: handleTimeUpdate
01-30 15:38:30.910  1482  1482 D KeyguardClockSwitch: Updating clock: 338
01-30 15:38:30.983   297   297 I chatty  : uid=1000(system) hwservicemanage expire 14 lines
